total_tweets,followers,retweetCount,score,isRetweet,created
-0.385199834,1.425304128,-0.356597729,-0.393014482,0.746240578,-0.756456493
-0.361258818,-0.450865515,-0.201390143,0.063979102,0.746240578,-0.756456493
-0.423338311,-0.409208461,0.294112151,-0.393014482,0.746240578,-0.756456493
-0.525992168,-0.473029205,1.672305718,0.977966269,0.746240578,-0.756456493
-0.515188644,-0.450865515,-0.346845381,0.520972685,0.746240578,-0.756456493
-0.548547071,-0.470625913,-0.357427716,-0.393014482,-1.326649916,-0.756456493
-0.361340354,-0.373159087,-0.338753007,-0.850008066,0.746240578,-0.756456493
2.64179457,-0.026016967,-0.357427716,-0.850008066,-1.326649916,-0.959805012
-0.493438909,-0.49919838,-0.311155936,0.520972685,0.746240578,-0.959805012
-0.462669251,-0.420156789,-0.357427716,-0.850008066,-1.326649916,-0.959805012
-0.547028463,-0.495726959,-0.357427716,-0.850008066,-1.326649916,-0.959805012
-0.065446115,-0.365949212,-0.357427716,1.891953437,-1.326649916,-1.16315353
-0.237803082,-0.070077313,0.361341105,-0.850008066,0.746240578,-1.16315353
-0.544398926,-0.481307209,-0.23500462,0.063979102,0.746240578,-1.16315353
-0.094289484,0.991109445,-0.219234866,-0.393014482,0.746240578,-1.16315353
0.093212801,1.196457361,-0.318003329,0.063979102,0.746240578,-1.16315353
-0.544347966,-0.474898431,-0.357427716,-0.850008066,-1.326649916,-1.366502048
-0.507452914,-0.482642371,-0.350995316,0.063979102,0.746240578,-1.366502048
-0.431869017,-0.269817548,-0.357427716,0.520972685,-1.326649916,-1.366502048
-0.12647583,-0.415083174,-0.353277781,-0.393014482,0.746240578,-1.366502048
-0.200510542,-0.294651561,-0.35722022,0.063979102,0.746240578,-1.366502048
-0.119738916,-0.447928159,0.339968938,-0.393014482,0.746240578,-1.366502048
-0.214228979,-0.166743042,0.096367726,0.520972685,0.746240578,-1.569850566
-0.513364276,-0.416685368,-0.337715523,-0.393014482,0.746240578,-1.569850566
-0.527398664,-0.494925861,-0.357427716,-0.850008066,-1.326649916,-1.569850566
0.076080043,-0.11760908,-0.053237447,-0.850008066,0.746240578,-1.569850566
-0.398480014,-0.410810655,-0.328378168,-0.850008066,0.746240578,-1.569850566
-0.544837182,-0.494658829,-0.357427716,-0.393014482,-1.326649916,-1.773199084
-0.546437326,-0.498397283,-0.357427716,-0.850008066,-1.326649916,-1.773199084
-0.493184109,-0.466353395,-0.353900271,-0.393014482,0.746240578,-1.773199084
