total_tweets,followers,retweetCount,score,isRetweet,created
0.739100434,-0.34351849,-0.354730258,-0.850008066,0.746240578,1.683725725
-0.424724423,-0.467154492,5.082100189,0.520972685,0.746240578,1.480377206
0.180374813,0.206301221,-0.357427716,2.348947021,-1.326649916,1.480377206
0.023489306,-0.080491576,-0.354522762,-0.393014482,0.746240578,1.480377206
-0.388919915,-0.385442577,-0.000740763,0.063979102,0.746240578,1.480377206
-0.160068673,0.663727723,-0.357427716,2.348947021,-1.326649916,1.480377206
-0.435527946,3.313490229,-0.357427716,-0.850008066,-1.326649916,1.480377206
-0.531179897,0.070915794,-0.346845381,-0.393014482,0.746240578,1.277028688
-0.362583779,-0.391584322,-0.28065391,-0.393014482,0.746240578,1.277028688
-0.365835028,-0.492255537,-0.330453136,-0.393014482,0.746240578,1.277028688
-0.362165907,-0.485579727,-0.357427716,2.348947021,-1.326649916,1.277028688
0.155434981,0.265315382,-0.354522762,-0.850008066,0.746240578,1.277028688
-0.508288658,-0.339780037,-0.35722022,0.520972685,0.746240578,1.277028688
-0.319063925,1.384448171,-0.338753007,0.520972685,0.746240578,1.277028688
1.646942936,0.285075779,-0.357427716,2.348947021,-1.326649916,1.277028688
-0.546773662,-0.496528056,-0.357427716,-0.850008066,-1.326649916,1.277028688
-0.312367779,-0.455672098,0.28000237,-0.393014482,0.746240578,1.277028688
-0.338082203,-0.333905324,3.199896961,-0.393014482,0.746240578,1.07368017
-0.53363617,-0.490653343,0.419647699,0.063979102,0.746240578,1.07368017
0.892306627,0.101357488,-0.357427716,0.520972685,-1.326649916,1.07368017
-0.515188644,-0.450865515,-0.335018065,0.520972685,0.746240578,1.07368017
-0.31817722,0.161439778,-0.357427716,2.348947021,-1.326649916,1.07368017
0.311556087,0.09708497,0.414460279,-0.850008066,0.746240578,1.07368017
-0.535379003,-0.127489279,-0.357427716,0.520972685,-1.326649916,1.07368017
0.847879685,-0.133096959,-0.054897421,-0.850008066,0.746240578,0.870331652
1.117876045,-0.012665347,-0.352655291,-0.850008066,0.746240578,0.870331652
-0.284370346,-0.023880708,-0.217159898,0.063979102,0.746240578,0.870331652
-0.551411024,-0.494391797,1.224112688,0.520972685,0.746240578,0.870331652
-0.508849218,-0.483176436,-0.357427716,-0.850008066,-1.326649916,0.870331652
-0.549454159,-0.457541325,-0.357427716,-0.850008066,-1.326649916,0.870331652
1.529918354,-0.193713314,-0.357427716,2.348947021,-1.326649916,0.870331652
